,Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs),Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
331,Finland,IRELAND,DUBLIN,0,0,0,0,0,438972,440447,6889,42.7%,0,2,1.1%,179,164,2,1.1%,0.0
1898,Switzerland,VENEZUELA,CARACAS,0,0,0,0,0,2527515,2536852,36707,66.7%,0,1,14.3%,7,6,1,14.3%,0.0
246,Denmark,FRANCE,PARIS,0,0,0,0,0,325682,326730,5272,26.3%,1,1,4.3%,23,20,1,4.3%,0.0
1120,Luxembourg,THAILAND,BANGKOK,0,0,0,0,0,1490574,1496008,21903,46.4%,0,13,2.8%,463,450,13,2.8%,0.0
737,Greece,CYPRUS,NICOSIA,0,0,0,0,0,980101,983613,14615,44.9%,19,202,15.6%,"1,299","1,097",202,15.6%,0.0
468,France,MAURITIUS,PORT LOUIS,1,1,0,0,0,621570,623732,9496,36.1%,0,17,1.9%,879,823,17,1.9%,0.0
1187,Netherlands,GREECE,ATHENS,0,0,0,0,0,1579873,1585644,23178,11.1%,6,4,11.4%,35,24,4,11.4%,0.0
102,Belgium,JAPAN,TOKYO,0,0,0,0,0,133754,134080,2532,58.8%,0,15,4.4%,338,311,15,4.4%,0.0
1018,Italy,TURKEY,ANKARA,0,0,0,0,0,1354625,1359548,19962,98.5%,3,"1,001",8.8%,"11,358","10,357","1,001",8.8%,0.0
174,Czech Republic,GHANA,ACCRA,0,0,0,0,0,229718,230405,3902,19.6%,6,396,51.8%,764,368,396,51.8%,0.0
1766,Sweden,EGYPT,CAIRO,0,0,0,0,0,2351581,2360256,34195,25.0%,23,"1,248",44.2%,"2,824","1,526","1,248",44.2%,0.0
1612,Spain,BRAZIL,PORTO ALEGRE,3,3,0,0,0,2146326,2154228,31265,6.3%,0,2,10.5%,22,19,2,9.1%,0.0
1411,Poland,SOUTH AFRICA,PRETORIA,0,0,0,0,0,1878427,1885321,27440,73.9%,0,73,3.3%,"2,184","2,111",73,3.3%,0.0
1401,Poland,QATAR,DOHA,0,0,0,0,0,1865099,1871943,27250,60.1%,67,216,13.2%,"1,633","1,417",216,13.2%,0.0
1618,Spain,CANADA,MONTREAL,0,0,0,0,0,2154323,2162255,31379,3.3%,3,9,1.7%,523,494,9,1.7%,0.0
1290,Norway,CHINA,BEIJING,0,0,0,0,0,1717155,1723442,25137,6.8%,7,391,1.4%,"28,479","28,088",391,1.4%,0.0
636,Germany,NAMIBIA,WINDHOEK,0,0,0,0,0,845485,848490,12693,52.7%,4,48,1.2%,"4,002","3,954",48,1.2%,0.0
1666,Spain,INDONESIA,JAKARTA,0,0,0,0,0,2218298,2226472,32292,1.1%,6,416,2.6%,"16,126","15,604",416,2.6%,0.0
21,Austria,INDONESIA,JAKARTA,0,0,0,0,0,25795,25715,990,10.6%,0,20,0.3%,"6,345","6,325",20,0.3%,0.0
144,Belgium,USA,"NEW YORK, NY",0,0,0,0,0,189733,190270,3331,37.5%,0,11,0.6%,"1,852",914,11,0.6%,0.0
861,Hungary,SERBIA,SUBOTICA,0,0,0,0,0,1145371,1149506,16974,40.0%,1,0,0,21,21,0,0,0.0
1095,Lithuania,TURKEY,ANKARA,0,0,0,0,0,1457253,1462562,21427,56.7%,5,157,13.2%,"1,185","1,021",157,13.2%,0.0
1881,Switzerland,SPAIN,BARCELONA,0,0,0,0,0,2504857,2514109,36383,85.7%,0,0,0,7,7,0,0,0.0
