Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,Total  uniform visas issued (including MEV),Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs),Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
Austria,ALBANIA,TIRANA,,,,,,62,32,10,31.3%,21,9,14.5%,62,53,9,14.5%
Austria,ALGERIA,ALGIERS,,,,,,2481,1658,1461,88.1%,1,822,33.1%,"2,481","1,659",822,33.1%
Austria,ARGENTINA,BUENOS AIRES,,,,,,16,16,16,100.0%,,,,16,16,,
Austria,AUSTRALIA,CANBERRA,,,,,,2776,2653,989,37.3%,1,122,4.4%,"2,776","2,654",122,4.4%
Austria,AZERBAIJAN,BAKU,1,1,1,,,1976,1895,1769,93.4%,2,79,4.0%,"1,977","1,898",79,4.0%
Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,616,615,615,100.0%,,1,0.2%,616,615,1,0.2%
Austria,BRAZIL,BRASILIA,,,,,,37,37,36,97.3%,,,,37,37,,
Austria,BULGARIA,SOFIA,,,,,,217,199,162,81.4%,13,5,2.3%,217,212,5,2.3%
Austria,CANADA,OTTAWA,,,,,,686,659,107,16.2%,1,26,3.8%,686,660,26,3.8%
Austria,CHILE,SANTIAGO DE CHILE,,,,,,22,22,17,77.3%,,,,22,22,,
Austria,CHINA,BEIJING,1,1,,,,36365,35764,1125,3.1%,4,597,1.6%,"36,366","35,769",597,1.6%
Austria,CHINA,SHANGHAI,,,,,,45037,44636,3442,7.7%,,401,0.9%,"45,037","44,636",401,0.9%
Austria,COLOMBIA,BOGOTA,,,,,,19,16,16,100.0%,,3,15.8%,19,16,3,15.8%
Austria,CROATIA,ZAGREB,,,,,,261,224,235,104.9%,23,14,5.4%,261,247,14,5.4%
Austria,CUBA,HAVANA,,,,,,16466,16350,857,26.1%,,31,6.0%,521,490,31,6.0%
Austria,CYPRUS,NICOSIA,,,,,,17798,17688,876,68.5%,4,5,1.0%,494,489,5,1.0%
Austria,EGYPT,CAIRO,,,,,,19131,19026,895,69.5%,39,822,16.5%,"4,993","4,171",822,16.5%
Austria,ETHIOPIA,ADDIS ABEBA,,,,,,20464,20364,914,16.9%,9,23,3.4%,670,647,23,3.4%
Austria,GERMANY,MUNICH,,,,,,21797,21701,933,90.6%,3,2,1.8%,111,109,2,1.8%
Austria,HONG KONG S.A.R.,HONG KONG,,,,,,23130,23039,952,19.9%,,2,0.4%,495,493,2,0.4%
Austria,INDIA,NEW DELHI,,,,,,24463,24377,971,100.1%,26,2002,5.4%,"36,82","34,818","2,002",5.4%
Austria,INDONESIA,JAKARTA,,,,,,25795,25715,990,10.6%,,20,0.3%,"6,345","6,325",20,0.3%
Austria,IRAN,TEHERAN,,,,,,27128,27053,1009,19.7%,160,3692,40.2%,"9,179","5,487","3,692",40.2%
Austria,IRELAND,DUBLIN,,,,,,28461,28391,1028,21.1%,,1,0.2%,575,574,1,0.2%
Austria,ISRAEL,TEL AVIV,1,1,,,,29794,29728,1047,21.5%,3,46,7.2%,642,596,46,7.2%
Austria,JAPAN,TOKYO,,,,,,31127,31066,1066,7.0%,,,,543,543,,
Austria,JORDAN,AMMAN,1,1,,,,32460,32404,1085,30.4%,32,515,13.6%,"3,78","3,265",515,13.6%
Austria,KAZAKHSTAN,ASTANA,1,1,,,,33792,33742,1104,10.4%,2,137,2.0%,"6,699","6,562",137,2.0%
Austria,KENYA,NAIROBI,,,,,,35125,35080,1123,13.4%,6,253,18.2%,"1,39","1,137",253,18.2%
Austria,KUWAIT,KUWAIT,,,,,,36458,36418,1142,89.2%,189,380,3.6%,"10,502","10,122",380,3.6%
Austria,LEBANON,BEIRUT,,,,,,37791,37756,1161,32.4%,26,139,4.6%,"3,007","2,868",139,4.6%
Austria,MALAYSIA,KUALA LUMPUR,,,,,,39124,39093,1180,32.6%,,49,7.5%,653,604,49,7.5%
Austria,MEXICO,MEXICO CITY,,,,,,40456,40431,1200,100.0%,,,,38,38,,
Austria,MOROCCO,RABAT,,,,,,41789,41769,1219,24.1%,2,350,35.6%,984,634,350,35.6%
Austria,NIGERIA,ABUJA,,,,,,43122,43107,1238,15.5%,90,893,46.2%,"1,933","1,04",893,46.2%
Austria,NORTH MACEDONIA,SKOPJE,,,,,,44455,44445,1257,6146.7%,918,341,26.8%,"1,274",933,341,26.8%
Austria,PAKISTAN,ISLAMABAD,,,,,,45788,45783,1276,12.5%,1,552,46.8%,"1,179",627,552,46.8%
Austria,PERU,LIMA,,,,,,47121,47120,1295,100.0%,,,,12,12,,
Austria,PHILIPPINES,MANILA,,,,,,48453,48458,1314,100.0%,,377,8.2%,"4,601","4,224",377,8.2%
Austria,ROMANIA,BUCHAREST,,,,,,49786,49796,1333,29.1%,,19,7.4%,256,237,19,7.4%
Austria,RUSSIAN FEDERATION,MOSCOW,1,1,1,,,51119,51134,1352,75.2%,136,697,1.7%,"40,263","39,566",697,1.7%
Austria,SAUDI ARABIA,RIYADH,1,1,1,,,52452,52472,1371,132.3%,3713,352,2.7%,"13,245","12,893",352,2.7%
Austria,SENEGAL,DAKAR,,,,,,53785,53810,1390,23.6%,,622,53.8%,"1,157",535,622,53.8%
Austria,SERBIA,BELGRADE,,,,,,55118,55148,1409,81.1%,,21,3.9%,540,519,21,3.9%
Austria,SLOVAKIA,BRATISLAVA,,,,,,56450,56485,1428,87.1%,1,1,3.0%,33,32,1,3.0%
Austria,SLOVENIA,LJUBLJANA,,,,,,57783,57823,1447,100.0%,,,,25,25,,
Austria,SOUTH AFRICA,PRETORIA,3,3,3,,,59116,59161,1466,111.4%,668,129,2.0%,"6,415","6,286",129,2.0%
Austria,SOUTH KOREA,SEOUL,,,,,,60449,60499,1485,94.0%,,5,2.7%,188,183,5,2.7%
Austria,SYRIA,DAMASCUS,,,,,,61782,61837,1504,27.5%,9,,,231,231,,
Austria,TAIWAN,TAIPEI,,,,,,63115,63175,1523,95.3%,,4,2.6%,154,150,4,2.6%
Austria,THAILAND,BANGKOK,,,,,,64447,64512,1542,100.0%,,313,1.5%,"21,487","21,174",313,1.5%
Austria,TUNISIA,TUNIS,,,,,,65780,65850,1561,43.7%,2,530,27.2%,"1,947","1,417",530,27.2%
Austria,TURKEY,ANKARA,1,1,,,,67113,67188,1580,10.6%,2,6,0.1%,"5,309","5,303",6,0.1%
Austria,TURKEY,ISTANBUL,,,,,,68446,68526,1599,73.8%,7,2382,18.0%,"13,202","10,82","2,382",18.0%
Austria,UKRAINE,KYIV,1,1,,,,69779,69864,1618,66.6%,4,53,3.1%,"1,698","1,645",53,3.1%
Austria,UNITED ARAB EMIRATES,ABU DHABI,1,1,,,,71112,71202,1637,73.5%,30,875,19.0%,"4,613","3,738",875,19.0%
Austria,UNITED KINGDOM,LONDON,1,1,,,,72444,72540,1656,47.7%,34,188,5.9%,"3,163","2,975",188,5.9%
