Schengen State,Country where consulate is located,Consulate,Airport transit visas (ATVs) applied for,ATVs issued (including multiple),Multiple ATVs issued,ATVs not issued,Not issued rate for ATVs,Uniform visas applied for,"Total  uniform visas issued (including MEV) 
",Multiple entry uniform visas (MEVs) issued,Share of MEVs on total number of uniform visas issued,Total LTVs issued,Uniform visas not issued,Not issued rate for uniform visas,Total ATVs and uniform visas applied for,"Total ATVs and uniform visas issued  (including multiple ATVs, MEVs and LTVs) ",Total ATVs and uniform visas not issued,Not issued rate for ATVs and uniform visas
Austria,ALBANIA,TIRANA,,,,,,"62,00","32,00","10,00",31.3%,21,9,14.5%,62,53,9,14.5%
Austria,ALGERIA,ALGIERS,,,,,,"2 481,00","1 658,00","1 461,00",88.1%,1,822,33.1%,"2,481","1,659",822,33.1%
Austria,ARGENTINA,BUENOS AIRES,,,,,,"16,00","16,00","16,00",100.0%,,,,16,16,,
Austria,AUSTRALIA,CANBERRA,,,,,,"2 776,00","2 653,00","989,00",37.3%,1,122,4.4%,"2,776","2,654",122,4.4%
Austria,AZERBAIJAN,BAKU,1,1,1,,,"1 976,00","1 895,00","1 769,00",93.4%,2,79,4.0%,"1,977","1,898",79,4.0%
Austria,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,"616,00","615,00","615,00",100.0%,,1,0.2%,616,615,1,0.2%
Austria,BRAZIL,BRASILIA,,,,,,"37,00","37,00","36,00",97.3%,,,,37,37,,
Austria,BULGARIA,SOFIA,,,,,,"217,00","199,00","162,00",81.4%,13,5,2.3%,217,212,5,2.3%
Austria,CANADA,OTTAWA,,,,,,"686,00","659,00","107,00",16.2%,1,26,3.8%,686,660,26,3.8%
Austria,CHILE,SANTIAGO DE CHILE,,,,,,"22,00","22,00","17,00",77.3%,,,,22,22,,
Austria,CHINA,BEIJING,1,1,,,,"36 365,00","35 764,00","1 125,00",3.1%,4,597,1.6%,"36,366","35,769",597,1.6%
Austria,CHINA,SHANGHAI,,,,,,"45 037,00","44 636,00","3 442,00",7.7%,,401,0.9%,"45,037","44,636",401,0.9%
Austria,COLOMBIA,BOGOTA,,,,,,"19,00","16,00","16,00",100.0%,,3,15.8%,19,16,3,15.8%
Austria,CROATIA,ZAGREB,,,,,,"261,00","224,00","235,00",104.9%,23,14,5.4%,261,247,14,5.4%
Austria,CUBA,HAVANA,,,,,,"16 465,57","16 349,99","857,00",26.1%,,31,6.0%,521,490,31,6.0%
Austria,CYPRUS,NICOSIA,,,,,,"17 798,40","17 687,84","876,03",68.5%,4,5,1.0%,494,489,5,1.0%
Austria,EGYPT,CAIRO,,,,,,"19 131,23","19 025,68","895,06",69.5%,39,822,16.5%,"4,993","4,171",822,16.5%
Austria,ETHIOPIA,ADDIS ABEBA,,,,,,"20 464,06","20 363,53","914,09",16.9%,9,23,3.4%,670,647,23,3.4%
Austria,GERMANY,MUNICH,,,,,,"21 796,89","21 701,37","933,11",90.6%,3,2,1.8%,111,109,2,1.8%
Austria,HONG KONG S.A.R.,HONG KONG,,,,,,"23 129,71","23 039,22","952,14",19.9%,,2,0.4%,495,493,2,0.4%
Austria,INDIA,NEW DELHI,,,,,,"24 462,54","24 377,07","971,17",100.1%,26,2002,5.4%,"36,82","34,818","2,002",5.4%
Austria,INDONESIA,JAKARTA,,,,,,"25 795,37","25 714,91","990,20",10.6%,,20,0.3%,"6,345","6,325",20,0.3%
Austria,IRAN,TEHERAN,,,,,,"27 128,20","27 052,76","1 009,23",19.7%,160,3692,40.2%,"9,179","5,487","3,692",40.2%
Austria,IRELAND,DUBLIN,,,,,,"28 461,03","28 390,60","1 028,26",21.1%,,1,0.2%,575,574,1,0.2%
Austria,ISRAEL,TEL AVIV,1,1,,,,"29 793,86","29 728,45","1 047,29",21.5%,3,46,7.2%,642,596,46,7.2%
Austria,JAPAN,TOKYO,,,,,,"31 126,69","31 066,30","1 066,31",7.0%,,,,543,543,,
Austria,JORDAN,AMMAN,1,1,,,,"32 459,51","32 404,14","1 085,34",30.4%,32,515,13.6%,"3,78","3,265",515,13.6%
Austria,KAZAKHSTAN,ASTANA,1,1,,,,"33 792,34","33 741,99","1 104,37",10.4%,2,137,2.0%,"6,699","6,562",137,2.0%
Austria,KENYA,NAIROBI,,,,,,"35 125,17","35 079,84","1 123,40",13.4%,6,253,18.2%,"1,39","1,137",253,18.2%
Austria,KUWAIT,KUWAIT,,,,,,"36 458,00","36 417,68","1 142,43",89.2%,189,380,3.6%,"10,502","10,122",380,3.6%
Austria,LEBANON,BEIRUT,,,,,,"37 790,83","37 755,53","1 161,46",32.4%,26,139,4.6%,"3,007","2,868",139,4.6%
Austria,MALAYSIA,KUALA LUMPUR,,,,,,"39 123,66","39 093,37","1 180,49",32.6%,,49,7.5%,653,604,49,7.5%
Austria,MEXICO,MEXICO CITY,,,,,,"40 456,49","40 431,22","1 199,51",100.0%,,,,38,38,,
Austria,MOROCCO,RABAT,,,,,,"41 789,31","41 769,07","1 218,54",24.1%,2,350,35.6%,984,634,350,35.6%
Austria,NIGERIA,ABUJA,,,,,,"43 122,14","43 106,91","1 237,57",15.5%,90,893,46.2%,"1,933","1,04",893,46.2%
Austria,NORTH MACEDONIA,SKOPJE,,,,,,"44 454,97","44 444,76","1 256,60",6146.7%,918,341,26.8%,"1,274",933,341,26.8%
Austria,PAKISTAN,ISLAMABAD,,,,,,"45 787,80","45 782,60","1 275,63",12.5%,1,552,46.8%,"1,179",627,552,46.8%
Austria,PERU,LIMA,,,,,,"47 120,63","47 120,45","1 294,66",100.0%,,,,12,12,,
Austria,PHILIPPINES,MANILA,,,,,,"48 453,46","48 458,30","1 313,69",100.0%,,377,8.2%,"4,601","4,224",377,8.2%
Austria,ROMANIA,BUCHAREST,,,,,,"49 786,29","49 796,14","1 332,71",29.1%,,19,7.4%,256,237,19,7.4%
Austria,RUSSIAN FEDERATION,MOSCOW,1,1,1,,,"51 119,11","51 133,99","1 351,74",75.2%,136,697,1.7%,"40,263","39,566",697,1.7%
Austria,SAUDI ARABIA,RIYADH,1,1,1,,,"52 451,94","52 471,84","1 370,77",132.3%,3713,352,2.7%,"13,245","12,893",352,2.7%
Austria,SENEGAL,DAKAR,,,,,,"53 784,77","53 809,68","1 389,80",23.6%,,622,53.8%,"1,157",535,622,53.8%
Austria,SERBIA,BELGRADE,,,,,,"55 117,60","55 147,53","1 408,83",81.1%,,21,3.9%,540,519,21,3.9%
Austria,SLOVAKIA,BRATISLAVA,,,,,,"56 450,43","56 485,37","1 427,86",87.1%,1,1,3.0%,33,32,1,3.0%
Austria,SLOVENIA,LJUBLJANA,,,,,,"57 783,26","57 823,22","1 446,89",100.0%,,,,25,25,,
Austria,SOUTH AFRICA,PRETORIA,3,3,3,,,"59 116,09","59 161,07","1 465,91",111.4%,668,129,2.0%,"6,415","6,286",129,2.0%
Austria,SOUTH KOREA,SEOUL,,,,,,"60 448,91","60 498,91","1 484,94",94.0%,,5,2.7%,188,183,5,2.7%
Austria,SYRIA,DAMASCUS,,,,,,"61 781,74","61 836,76","1 503,97",27.5%,9,,,231,231,,
Austria,TAIWAN,TAIPEI,,,,,,"63 114,57","63 174,60","1 523,00",95.3%,,4,2.6%,154,150,4,2.6%
Austria,THAILAND,BANGKOK,,,,,,"64 447,40","64 512,45","1 542,03",100.0%,,313,1.5%,"21,487","21,174",313,1.5%
Austria,TUNISIA,TUNIS,,,,,,"65 780,23","65 850,30","1 561,06",43.7%,2,530,27.2%,"1,947","1,417",530,27.2%
Austria,TURKEY,ANKARA,1,1,,,,"67 113,06","67 188,14","1 580,09",10.6%,2,6,0.1%,"5,309","5,303",6,0.1%
Austria,TURKEY,ISTANBUL,,,,,,"68 445,89","68 525,99","1 599,11",73.8%,7,2382,18.0%,"13,202","10,82","2,382",18.0%
Austria,UKRAINE,KYIV,1,1,,,,"69 778,71","69 863,84","1 618,14",66.6%,4,53,3.1%,"1,698","1,645",53,3.1%
Austria,UNITED ARAB EMIRATES,ABU DHABI,1,1,,,,"71 111,54","71 201,68","1 637,17",73.5%,30,875,19.0%,"4,613","3,738",875,19.0%
Austria,UNITED KINGDOM,LONDON,1,1,,,,"72 444,37","72 539,53","1 656,20",47.7%,34,188,5.9%,"3,163","2,975",188,5.9%
Austria,USA,"LOS ANGELES, CA",,,,,,"73 777,20","73 877,37","1 675,23",99.7%,,27,3.7%,738,711,27,3.7%
Austria,USA,"NEW YORK, NY",,,,,,"75 110,03","75 215,22","1 694,26",66.1%,2,55,5.5%,"1,007",952,55,5.5%
Austria,USA,"WASHINGTON, DC",,,,,,"76 442,86","76 553,07","1 713,29",100.0%,2,12,2.5%,474,462,12,2.5%
Austria,VENEZUELA,CARACAS,,,,,,"77 775,69","77 890,91","1 732,31",50.0%,,,,4,4,,
Austria,VIETNAM,HANOI,,,,,,"79 108,51","79 228,76","1 751,34",33.9%,2,96,4.8%,"1,985","1,889",96,4.8%
Belgium,ALGERIA,ALGIERS,,,,,,"80 441,34","80 566,60","1 770,37",52.8%,307,2480,35.9%,"6,901","4,109","2,48",35.9%
Belgium,ANGOLA,LUANDA,2,,,,,"81 774,17","81 904,45","1 789,40",53.0%,1,788,41.3%,"1,911","1,046",788,41.2%
Belgium,ARGENTINA,BUENOS AIRES,,,,,,"83 107,00","83 242,30","1 808,43",60.0%,,,,12,10,,
Belgium,AUSTRALIA,CANBERRA,,,,,,"84 439,83","84 580,14","1 827,46",32.5%,,7,2.7%,260,231,7,2.7%
Belgium,AUSTRIA,VIENNA,,,,,,"85 772,66","85 917,99","1 846,49",100.0%,,,,1,1,,
Belgium,BELGIUM,BRUSSELS,,,,,,"87 105,49","87 255,84","1 865,51",43.5%,,,,26,23,,
Belgium,BRAZIL,SAO PAULO,,,,,,"88 438,31","88 593,68","1 884,54",69.6%,,7,18.4%,38,23,7,18.4%
Belgium,BULGARIA,SOFIA,,,,,,"89 771,14","89 931,53","1 903,57",52.8%,,4,4.8%,83,72,4,4.8%
Belgium,BURKINA FASO,OUAGADOUGOU,,,,,,"91 103,97","91 269,37","1 922,60",43.9%,1,550,19.7%,"2,79","2,065",550,19.7%
Belgium,BURUNDI,BUJUMBURA,,,,,,"92 436,80","92 607,22","1 941,63",13.9%,4,796,22.4%,"3,547","2,324",796,22.4%
Belgium,CAMEROON,YAONDE,1,,,,,"93 769,63","93 945,07","1 960,66",38.8%,,1540,35.4%,"4,35","2,493","1,54",35.4%
Belgium,CANADA,MONTREAL,,,,,,"95 102,46","95 282,91","1 979,69",18.5%,5,138,18.4%,750,524,138,18.4%
Belgium,CHILE,SANTIAGO DE CHILE,,,,,,"96 435,29","96 620,76","1 998,71",72.7%,1,9,13.2%,68,45,9,13.2%
Belgium,CHINA,BEIJING,,,,,,"97 768,11","97 958,60","2 017,74",40.1%,4,777,2.9%,"26,525","25,599",777,2.9%
Belgium,CHINA,GUANGZHOU (CANTON),,,,,,"99 100,94","99 296,45","2 036,77",22.6%,,192,3.4%,"5,685","5,476",192,3.4%
Belgium,CHINA,SHANGHAI,2,1,,1,50.0%,"100 433,77","100 634,30","2 055,80",31.6%,,225,3.1%,"7,367","7,046",226,3.1%
Belgium,COLOMBIA,BOGOTA,,,,,,"101 766,60","101 972,14","2 074,83",85.7%,,,,16,14,,
Belgium,CONGO (DEMOCRATIC REPUBLIC),KINSHASA,2,1,,,,"103 099,43","103 309,99","2 093,86",29.5%,,1643,71.8%,"2,291","1,635","1,643",71.7%
Belgium,CONGO (DEMOCRATIC REPUBLIC),LUBUMBASHI,,,,,,"104 432,26","104 647,84","2 112,89",27.1%,,72,86.7%,83,59,72,86.7%
Belgium,COTE D'IVOIRE,ABIDJAN,1,,,,,"105 765,09","105 985,68","2 131,91",43.4%,,984,36.6%,"2,689","1,624",984,36.6%
Belgium,CROATIA,ZAGREB,,,,,,"107 097,91","107 323,53","2 150,94",50.0%,,2,9.5%,21,16,2,9.5%
Belgium,CUBA,HAVANA,,,,,,"108 430,74","108 661,37","2 169,97",92.1%,1,174,12.3%,"1,414","1,128",174,12.3%
Belgium,CZECH REPUBLIC,PRAGUE,,,,,,"109 763,57","109 999,22","2 189,00",,,1,100.0%,1,,1,100.0%
Belgium,EGYPT,CAIRO,,,,,,"111 096,40","111 337,07","2 208,03",23.8%,15,1111,34.2%,"3,25","1,961","1,111",34.2%
Belgium,ETHIOPIA,ADDIS ABEBA,,,,,,"112 429,23","112 674,91","2 227,06",52.4%,28,149,13.2%,"1,132",886,149,13.2%
Belgium,FINLAND,HELSINKI,,,,,,"113 762,06","114 012,76","2 246,09",25.0%,,,,5,4,,
Belgium,FRANCE,PARIS,,,,,,"115 094,89","115 350,60","2 265,11",40.0%,1,,,7,6,,
Belgium,GERMANY,BERLIN,,,,,,"116 427,71","116 688,45","2 284,14",66.7%,,1,25.0%,4,3,1,25.0%
Belgium,GREECE,ATHENS,,,,,,"117 760,54","118 026,30","2 303,17",42.9%,1,,,9,8,,
Belgium,HONG KONG S.A.R.,HONG KONG,,,,,,"119 093,37","119 364,14","2 322,20",71.4%,,23,3.7%,622,588,23,3.7%
Belgium,HUNGARY,BUDAPEST,,,,,,"120 426,20","120 701,99","2 341,23",66.7%,1,,,4,4,,
Belgium,INDIA,MUMBAI,,,,,,"121 759,03","122 039,84","2 360,26",86.6%,,551,2.9%,"19,162","18,36",551,2.9%
Belgium,INDIA,NEW DELHI,,,,,,"123 091,86","123 377,68","2 379,29",66.6%,,888,12.5%,"7,117","6,052",888,12.5%
Belgium,INDONESIA,JAKARTA,,,,,,"124 424,69","124 715,53","2 398,31",32.1%,,2,0.8%,238,224,2,0.8%
Belgium,IRAN,TEHERAN,3,,,,,"125 757,51","126 053,37","2 417,34",20.6%,139,1883,29.9%,"6,309","3,999","1,883",29.8%
Belgium,IRELAND,DUBLIN,,,,,,"127 090,34","127 391,22","2 436,37",38.7%,,10,1.3%,763,682,10,1.3%
Belgium,ISRAEL,JERUSALEM,,,,,,"128 423,17","128 729,07","2 455,40",17.7%,19,267,35.1%,760,448,267,35.1%
Belgium,ISRAEL,TEL AVIV,1,2,,,,"129 756,00","130 066,91","2 474,43",48.8%,,12,12.4%,98,88,12,12.2%
Belgium,ITALY,ROME,,,,,,"131 088,83","131 404,76","2 493,46",66.7%,,,,3,3,,
Belgium,JAMAICA,KINGSTON,,,,,,"132 421,66","132 742,60","2 512,49",35.3%,,70,6.5%,"1,083",885,70,6.5%
Belgium,JAPAN,TOKYO,,,,,,"133 754,49","134 080,45","2 531,51",58.8%,,15,4.4%,338,311,15,4.4%
Belgium,JORDAN,AMMAN,,,,,,"135 087,31","135 418,30","2 550,54",37.8%,39,267,14.0%,"1,903","1,207",267,14.0%
Belgium,KENYA,NAIROBI,,,,,,"136 420,14","136 756,14","2 569,57",39.3%,42,208,12.6%,"1,651","1,343",208,12.6%
Belgium,KUWAIT,KUWAIT,,,,,,"137 752,97","138 093,99","2 588,60",86.4%,24,183,8.4%,"2,177","1,925",183,8.4%
Belgium,LEBANON,BEIRUT,,,,,,"139 085,80","139 431,84","2 607,63",33.5%,25,920,27.8%,"3,314","2,2",920,27.8%
Belgium,MALAYSIA,KUALA LUMPUR,,,,,,"140 418,63","140 769,68","2 626,66",30.2%,,18,14.2%,127,116,18,14.2%
Belgium,MEXICO,MEXICO CITY,,,,,,"141 751,46","142 107,53","2 645,69",68.6%,,,,56,51,,
Belgium,MOROCCO,CASABLANCA,,,,,,"143 084,29","143 445,37","2 664,71",52.8%,3,6111,47.4%,"12,889","5,812","6,111",47.4%
Belgium,MOROCCO,RABAT,,,,,,"144 417,11","144 783,22","2 683,74",94.2%,15,3,0.5%,567,528,3,0.5%
Belgium,NETHERLANDS,THE HAGUE,,,,,,"145 749,94","146 121,07","2 702,77",60.0%,,3,33.3%,9,5,3,33.3%
Belgium,NIGERIA,ABUJA,11,,,11,100.0%,"147 082,77","147 458,91","2 721,80",80.0%,77,1756,45.9%,"3,838","1,975","1,767",46.0%
Belgium,PAKISTAN,ISLAMABAD,,,,,,"148 415,60","148 796,76","2 740,83",19.1%,34,1354,48.1%,"2,813","1,211","1,354",48.1%
Belgium,PANAMA,PANAMA CITY,,,,,,"149 748,43","150 134,60","2 759,86",50.0%,,3,27.3%,11,8,3,27.3%
Belgium,PERU,LIMA,,,,,,"151 081,26","151 472,45","2 778,89",65.2%,1,11,10.3%,107,90,11,10.3%
Belgium,PHILIPPINES,MANILA,,,,,,"152 414,09","152 810,30","2 797,91",44.1%,3,501,8.5%,"5,882","5,264",501,8.5%
Belgium,POLAND,WARSAW,,,,,,"153 746,91","154 148,14","2 816,94",20.0%,,3,30.0%,10,5,3,30.0%
Belgium,PORTUGAL,LISBON,,,,,,"155 079,74","155 485,99","2 835,97",,,,,5,5,,
Belgium,QATAR,DOHA,,,,,,"156 412,57","156 823,84","2 855,00",65.5%,5,103,7.8%,"1,32","1,137",103,7.8%
Belgium,ROMANIA,BUCHAREST,,,,,,"157 745,40","158 161,68","2 874,03",49.2%,1,20,23.5%,85,64,20,23.5%
Belgium,RUSSIAN FEDERATION,MOSCOW,,,,,,"159 078,23","159 499,53","2 893,06",59.0%,21,465,3.4%,"13,859","13,234",465,3.4%
Belgium,RWANDA,KIGALI,5,,,,,"160 411,06","160 837,37","2 912,09",27.8%,4,1712,18.6%,"9,19","7,06","1,712",18.6%
Belgium,SAUDI ARABIA,RIYADH,,,,,,"161 743,89","162 175,22","2 931,11",60.0%,27,255,13.9%,"1,834","1,536",255,13.9%
Belgium,SENEGAL,DAKAR,2,,,,,"163 076,71","163 513,07","2 950,14",33.9%,,1890,55.1%,"3,433","1,379","1,89",55.1%
Belgium,SERBIA,BELGRADE,,,,,,"164 409,54","164 850,91","2 969,17",83.3%,,9,17.0%,53,42,9,17.0%
Belgium,SINGAPORE,SINGAPORE,,,,,,"165 742,37","166 188,76","2 988,20",39.1%,,5,0.5%,915,888,5,0.5%
Belgium,SOUTH AFRICA,CAPE TOWN,,,,,,"167 075,20","167 526,60","3 007,23",90.9%,,39,2.2%,"1,812","1,75",39,2.2%
Belgium,SOUTH AFRICA,JOHANNESBURG,,,,,,"168 408,03","168 864,45","3 026,26",57.2%,2,173,4.6%,"3,745","3,514",173,4.6%
Belgium,SOUTH KOREA,SEOUL,,,,,,"169 740,86","170 202,30","3 045,29",23.3%,,34,27.0%,126,90,34,27.0%
Belgium,SPAIN,MADRID,,,,,,"171 073,69","171 540,14","3 064,31",22.8%,1,6,9.5%,63,58,6,9.5%
Belgium,SWITZERLAND,BERN,,,,,,"172 406,51","172 877,99","3 083,34",33.3%,,,,6,3,,
Belgium,TAIWAN,TAIPEI,,,,,,"173 739,34","174 215,84","3 102,37",97.4%,,1,2.2%,45,38,1,2.2%
Belgium,TANZANIA,DAR ES SALAAM,,,,,,"175 072,17","175 553,68","3 121,40",13.1%,,56,6.9%,807,715,56,6.9%
Belgium,THAILAND,BANGKOK,,,,,,"176 405,00","176 891,53","3 140,43",12.3%,2,513,8.6%,"5,938","5,371",513,8.6%
Belgium,TUNISIA,TUNIS,,,,,,"177 737,83","178 229,37","3 159,46",45.6%,32,1113,30.5%,"3,655","2,474","1,113",30.5%
Belgium,TURKEY,ANKARA,,,,,,"179 070,66","179 567,22","3 178,49",29.6%,1,1097,58.3%,"1,882","1,138","1,097",58.3%
Belgium,TURKEY,ISTANBUL,,,,,,"180 403,49","180 905,07","3 197,51",56.6%,2,1200,14.2%,"8,465","6,315","1,2",14.2%
Belgium,UGANDA,KAMPALA,,,,,,"181 736,31","182 242,91","3 216,54",43.1%,,114,12.6%,905,736,114,12.6%
Belgium,UKRAINE,KYIV,,,,,,"183 069,14","183 580,76","3 235,57",53.9%,,38,7.6%,499,434,38,7.6%
Belgium,UNITED ARAB EMIRATES,ABU DHABI,,,,,,"184 401,97","184 918,60","3 254,60",81.7%,1,759,17.4%,"4,372","3,364",759,17.4%
Belgium,UNITED KINGDOM,LONDON,1,,,,,"185 734,80","186 256,45","3 273,63",64.3%,4,353,5.0%,"7,129","6,142",353,5.0%
Belgium,USA,"ATLANTA, GA",2,1,,,,"187 067,63","187 594,30","3 292,66",25.0%,,2,0.3%,675,582,2,0.3%
Belgium,USA,"LOS ANGELES, CA",,,,,,"188 400,46","188 932,14","3 311,69",27.8%,1,1,0.1%,"1,238","1,212",1,0.1%
Belgium,USA,"NEW YORK, NY",,,,,,"189 733,29","190 269,99","3 330,71",37.5%,,11,0.6%,"1,852",914,11,0.6%
Belgium,USA,"WASHINGTON, DC",1,1,1,,,"191 066,11","191 607,84","3 349,74",84.7%,1,35,4.1%,860,735,35,4.1%
Belgium,VIETNAM,HANOI,,,,,,"192 398,94","192 945,68","3 368,77",56.1%,17,190,9.5%,"2,006","1,772",190,9.5%
Czech Republic,AFGHANISTAN,KABUL,,,,,,"193 731,77","194 283,53","3 387,80",40.6%,41,1,0.9%,108,105,1,0.9%
Czech Republic,ALBANIA,TIRANA,,,,,,"195 064,60","195 621,37","3 406,83",45.5%,1,4,25.0%,16,12,4,25.0%
Czech Republic,ALGERIA,ALGIERS,,,,,,"196 397,43","196 959,22","3 425,86",31.3%,,458,46.0%,996,537,458,46.0%
Czech Republic,ARGENTINA,BUENOS AIRES,,,,,,"197 730,26","198 297,07","3 444,89",100.0%,,,,2,2,,
Czech Republic,ARMENIA,YEREVAN,,,,,,"199 063,09","199 634,91","3 463,91",22.8%,1,531,16.8%,"3,167","2,636",531,16.8%
Czech Republic,AUSTRALIA,SYDNEY,,,,,,"200 395,91","200 972,76","3 482,94",36.6%,2,1,0.2%,407,406,1,0.2%
Czech Republic,AUSTRIA,VIENNA,,,,,,"201 728,74","202 310,60","3 501,97",75.0%,4,,,12,12,,
Czech Republic,AZERBAIJAN,BAKU,,,,,,"203 061,57","203 648,45","3 521,00",12.0%,,245,5.0%,"4,949","4,695",245,5.0%
Czech Republic,BELARUS,MINSK,,,,,,"204 394,40","204 986,30","3 540,03",52.1%,,5,0.0%,"12,749","12,744",5,0.0%
Czech Republic,BELGIUM,BRUSSELS,,,,,,"205 727,23","206 324,14","3 559,06",50.0%,,,,2,2,,
Czech Republic,BOSNIA AND HERZEGOVINA,SARAJEVO,,,,,,"207 060,06","207 661,99","3 578,09",28.8%,1,,,105,105,,
Czech Republic,BRAZIL,BRASILIA,,,,,,"208 392,89","208 999,84","3 597,11",,,,,4,4,,
Czech Republic,BRAZIL,SAO PAULO,,,,,,"209 725,71","210 337,68","3 616,14",10.5%,,2,9.5%,21,19,2,9.5%
Czech Republic,BULGARIA,SOFIA,,,,,,"211 058,54","211 675,53","3 635,17",46.7%,,9,6.3%,144,135,9,6.3%
Czech Republic,CANADA,OTTAWA,,,,,,"212 391,37","213 013,37","3 654,20",25.0%,,,,92,92,,
Czech Republic,CANADA,TORONTO,,,,,,"213 724,20","214 351,22","3 673,23",13.3%,,1,0.3%,392,391,1,0.3%
Czech Republic,CHILE,SANTIAGO DE CHILE,,,,,,"215 057,03","215 689,07","3 692,26",16.7%,,,,6,6,,
Czech Republic,CHINA,BEIJING,,,,,,"216 389,86","217 026,91","3 711,29",9.3%,,2099,3.1%,"67,33","65,229","2,099",3.1%
Czech Republic,CHINA,CHENGDU,,,,,,"217 722,69","218 364,76","3 730,31",7.4%,1,326,1.7%,"19,268","18,942",326,1.7%
Czech Republic,CHINA,SHANGHAI,,,,,,"219 055,51","219 702,60","3 749,34",7.1%,6,913,2.6%,"35,634","34,721",913,2.6%
Czech Republic,COLOMBIA,BOGOTA,,,,,,"220 388,34","221 040,45","3 768,37",60.0%,,,,5,5,,
Czech Republic,CROATIA,ZAGREB,,,,,,"221 721,17","222 378,30","3 787,40",58.7%,,1,1.6%,64,63,1,1.6%
